,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
12961,13130,13130,G3: 1.3 Pie Chart Industrial,"['Backup', 'data', 'for', 'industrial', 'pie', 'chart', 'for', 'energy', 'report']",,"['trillion_btu', 'type']","['Trillion BTU', 'Type']",chart,['demographics'],Goal 3: Sustainable Energy and a Clean Environment,[],official,14.0,12.0,0.0,229.0,7.84549005094,data.results.wa.gov,"['demographics', 'goal', '3:', 'sustainable', 'energy', 'and', 'a', 'clean', 'environment']","['demographics', 'goal', '3:', 'sustainable', 'energy', 'and', 'a', 'clean', 'environment', 'Backup', 'data', 'for', 'industrial', 'pie', 'chart', 'for', 'energy', 'report']","[(0, 0.072802197802197655), (1, 0.14423076923076894), (5, 0.072802197802197655), (11, 0.42884929067176331), (16, 0.072802197802197655), (17, 0.073897962075488391), (45, 0.072802197802197668)]","[(11, 0.4288492906717633), (1, 0.14423076923076894), (17, 0.07389796207548839), (45, 0.07280219780219767), (0, 0.07280219780219765), (5, 0.07280219780219765), (16, 0.07280219780219765)]",11
12970,13139,13139,G5: 1.1 Customer Satisfaction - Injured worker overall experience with Claim Manager,"['1', '1', 'Injured', 'worker', 'overall', 'experience', 'with', 'Claim', 'Manager']","Kirsta Glenn, Department of Labor and Industries","['overall_experience_rating_percentage', 'date']","['Overall Experience Rating-Percentage', 'Date']",chart,[],"Goal 5: Efficient, Effective, and Accountable Government","['claim manager', 'experience', 'injured', 'manager', 'rating']",official,27.0,31.0,0.0,227.0,7.83289001416,data.results.wa.gov,"['claim', 'manager', 'experience', 'injured', 'manager', 'rating', 'goal', '5:', 'efficient', '', 'effective', '', 'and', 'accountable', 'government']","['claim', 'manager', 'experience', 'injured', 'manager', 'rating', 'goal', '5:', 'efficient', '', 'effective', '', 'and', 'accountable', 'government', '1', '1', 'Injured', 'worker', 'overall', 'experience', 'with', 'Claim', 'Manager']","[(11, 0.21153846153846143), (23, 0.10627530364372463), (33, 0.11616810307063098), (35, 0.10627530364372463), (36, 0.05364372469635624), (44, 0.10627530364372463), (45, 0.05364372469635624), (47, 0.14901408316418666), (49, 0.05364372469635624)]","[(11, 0.21153846153846143), (47, 0.14901408316418666), (33, 0.11616810307063098), (23, 0.10627530364372463), (35, 0.10627530364372463), (44, 0.10627530364372463), (36, 0.05364372469635624), (45, 0.05364372469635624), (49, 0.05364372469635624)]",11
12968,13137,13137,G3: 3.2.c. CREP sites line chart,"['Increase', 'number', 'of', 'CREP', 'sites', 'to', 'improve', 'water', 'temperature', 'and', 'habitat', 'from', '1', '021', 'to', '1', '1', '71', 'by', '2015']",State Conservation Commission,"['new_contracts', 'cumulative_projects', 'year', 'year_2']","['New Contracts', 'Implemented Projects', 'Year', 'Year #']",chart,['demographics'],Goal 3: Sustainable Energy and a Clean Environment,"['water temperature', 'habitat', 'conservation', 'crep']",official,34.0,10.0,0.0,227.0,7.83289001416,data.results.wa.gov,"['water', 'temperature', 'habitat', 'conservation', 'crep', 'demographics', 'goal', '3:', 'sustainable', 'energy', 'and', 'a', 'clean', 'environment']","['water', 'temperature', 'habitat', 'conservation', 'crep', 'demographics', 'goal', '3:', 'sustainable', 'energy', 'and', 'a', 'clean', 'environment', 'Increase', 'number', 'of', 'CREP', 'sites', 'to', 'improve', 'water', 'temperature', 'and', 'habitat', 'from', '1', '021', 'to', '1', '1', '71', 'by', '2015']","[(0, 0.046328671328671266), (1, 0.055151636335040818), (6, 0.092404284479014998), (11, 0.25813781330317548), (27, 0.1000962878173858), (44, 0.092139268431904717), (45, 0.1389101347407348), (50, 0.17837036510253237)]","[(11, 0.2581378133031755), (50, 0.17837036510253237), (45, 0.1389101347407348), (27, 0.1000962878173858), (6, 0.092404284479015), (44, 0.09213926843190472), (1, 0.05515163633504082), (0, 0.046328671328671266)]",11
12967,13136,13136,G3: 1.3.a. Residential/Commercial Consumption By Fuel 2011,"['Residential', 'and', 'commercial', 'sector', 'energy', 'consumption', 'excluding', 'electicity', 'and', 'biomass', '2011']",,"['mmt', 'fuel_type']","['MMT', 'Fuel Type']",dataset,['demographics'],Goal 3: Sustainable Energy and a Clean Environment,"['fuel', '2011', 'consumption', 'energy']",official,40.0,1.0,0.0,227.0,7.83289001416,data.results.wa.gov,"['fuel', '2011', 'consumption', 'energy', 'demographics', 'goal', '3:', 'sustainable', 'energy', 'and', 'a', 'clean', 'environment']","['fuel', '2011', 'consumption', 'energy', 'demographics', 'goal', '3:', 'sustainable', 'energy', 'and', 'a', 'clean', 'environment', 'Residential', 'and', 'commercial', 'sector', 'energy', 'consumption', 'excluding', 'electicity', 'and', 'biomass', '2011']","[(0, 0.053643724696356185), (6, 0.19566127818413906), (11, 0.39970872745232383), (18, 0.085298166141976592), (28, 0.053643724696356185), (31, 0.055042763992103755), (43, 0.058823477184921057), (45, 0.053643724696356185)]","[(11, 0.39970872745232383), (6, 0.19566127818413906), (18, 0.08529816614197659), (43, 0.05882347718492106), (31, 0.055042763992103755), (0, 0.053643724696356185), (28, 0.053643724696356185), (45, 0.053643724696356185)]",11
3917,3917,3917,Alternative Energy Laws and Incentives for Colorado 2014,"['Law', 'titles', 'text', 'and', 'dates', 'for', 'biofuels', 'natural', 'gas', 'plug', 'in', 'electric', 'and', 'more', 'categories', 'from', 'National', 'Renewable', 'Energy', 'Laboratory', '(NREL)', 'since', '2007', 'and', 'updated', 'annually', 'after', 'each', ""state's"", 'legislative', 'session', 'ends', 'Navigate', 'to', 'NREL', 'source', 'for', 'most', 'current', 'information']",US Department of Energy,"['lawid', 'topic', 'usercategories', 'amendeddate', 'references', 'sequencenumber', 'enacteddate', 'incentivecategories', 'technologycategories', 'significantupdatedate', 'archiveddate', 'regulationcategories', 'expireddate', 'agency', 'isrecent', 'text', 'repealeddate', 'title', 'type']","['lawid', 'topic', 'usercategories', 'amendeddate', 'references', 'sequencenumber', 'enacteddate', 'incentivecategories', 'technologycategories', 'significantupdatedate', 'archiveddate', 'regulationcategories', 'expireddate', 'agency', 'isrecent', 'text', 'repealeddate', 'title', 'type']",dataset,"['economy', 'housing & development', 'environment']",Environment,"['gocodecolorado', 'alternative energy laws and incentives', 'environment', 'energy', 'colorado', 'bic', 'gocode']",official,214.0,4.0,2.0,227.0,7.83289001416,data.colorado.gov,"['gocodecolorado', 'alternative', 'energy', 'laws', 'and', 'incentives', 'environment', 'energy', 'colorado', 'bic', 'gocode', 'economy', 'housing', '&', 'development', 'environment', 'environment']","['gocodecolorado', 'alternative', 'energy', 'laws', 'and', 'incentives', 'environment', 'energy', 'colorado', 'bic', 'gocode', 'economy', 'housing', '&', 'development', 'environment', 'environment', 'Law', 'titles', 'text', 'and', 'dates', 'for', 'biofuels', 'natural', 'gas', 'plug', 'in', 'electric', 'and', 'more', 'categories', 'from', 'National', 'Renewable', 'Energy', 'Laboratory', '(NREL)', 'since', '2007', 'and', 'updated', 'annually', 'after', 'each', ""state's"", 'legislative', 'session', 'ends', 'Navigate', 'to', 'NREL', 'source', 'for', 'most', 'current', 'information']","[(1, 0.063972456163944397), (6, 0.030127919231327214), (9, 0.031617901044410361), (11, 0.18567882088904697), (13, 0.084419936070955118), (15, 0.058006273168543621), (24, 0.028193044249565317), (25, 0.13376096907756305), (27, 0.069140932018476459), (29, 0.027162107615285085), (31, 0.025374044946721328), (35, 0.02912309819951819), (42, 0.10185348303614318), (47, 0.046958855098390019), (49, 0.068062753107820673)]","[(11, 0.18567882088904697), (25, 0.13376096907756305), (42, 0.10185348303614318), (13, 0.08441993607095512), (27, 0.06914093201847646), (49, 0.06806275310782067), (1, 0.0639724561639444), (15, 0.05800627316854362), (47, 0.04695885509839002), (9, 0.03161790104441036), (6, 0.030127919231327214), (35, 0.02912309819951819), (24, 0.028193044249565317), (29, 0.027162107615285085), (31, 0.025374044946721328)]",11
12971,13140,13140,G3: 1.1 Transportation Greenhouse Gas Pollution,"['Amount', 'of', 'greenhouse', 'gas', 'emitted', 'by', 'different', 'types', 'of', 'transportation', 'modes', 'in', 'Washington']","Ecology, Air Quality","['transportation', '_2012', '_2010']","['Transportation ', 'Total MMt CO2e', 'Year']",dataset,"['transportation', 'demographics']",Goal 3: Sustainable Energy and a Clean Environment,['ghgs'],official,25.0,1.0,0.0,226.0,7.82654848729,data.results.wa.gov,"['ghgs', 'transportation', 'demographics', 'goal', '3:', 'sustainable', 'energy', 'and', 'a', 'clean', 'environment']","['ghgs', 'transportation', 'demographics', 'goal', '3:', 'sustainable', 'energy', 'and', 'a', 'clean', 'environment', 'Amount', 'of', 'greenhouse', 'gas', 'emitted', 'by', 'different', 'types', 'of', 'transportation', 'modes', 'in', 'Washington']","[(0, 0.15890688259109284), (2, 0.082163452718699806), (3, 0.13574902793998392), (8, 0.055627147385446885), (11, 0.27676345701736887), (12, 0.053643724696356192), (13, 0.057773023735781984), (35, 0.082207292012434083), (45, 0.053643724696356192)]","[(11, 0.2767634570173689), (0, 0.15890688259109284), (3, 0.13574902793998392), (35, 0.08220729201243408), (2, 0.0821634527186998), (13, 0.057773023735781984), (8, 0.055627147385446885), (12, 0.05364372469635619), (45, 0.05364372469635619)]",11
9061,9230,9230,"Department of Health and Mental Hygiene (DHMH) Energy Usage (MMBTU), Two Year Comparison: Line Chart","['To', 'substantially', 'reduce', 'energy', 'costs', 'and', 'consumption', 'by', 'State', 'government', 'an', 'energy/electricity', 'competition', 'was', 'established', 'in', '2011', 'between', 'the', '16', 'largest', 'energy', 'using', 'agencies', 'Each', ""agency's"", 'consumption', 'of', 'electricity', '(kWh)', 'and', 'total', 'energy', '(MMBTU)', 'from', 'significant', 'facilities', 'is', 'monitored', 'in', 'relation', 'to', 'a', 'baseline', 'year', 'of', 'FY', '2008', 'Significant', 'facilities', 'are', 'those', 'that', 'have', 'been', 'occupied', 'by', 'the', 'State', 'since', '2008', 'and', 'are', 'air', 'conditioned', 'An', 'overall', 'goal', 'is', 'set', 'for', 'State', 'agencies', 'to', 'reduce', 'energy/electricity', 'consumption', 'by', '15%', 'by', '2015', 'to', 'Lead', 'By', 'Example', 'To', 'view', 'how', 'the', 'State', 'and', 'each', 'of', 'the', '16', 'agencies', 'are', 'performing', 'please', 'select', 'between', 'energy', 'and', 'electricity', 'and', 'select', 'an', 'agency', 'using', 'the', 'options', 'to', 'the', 'right', 'The', 'Fiscal', 'Year', '(FY)', '2013', 'runs', 'from', 'July', '1', '2012', 'through', 'June', '30', '2013', 'The', 'Fiscal', 'Year', '2014', 'runs', 'from', 'July', '1', '2013', 'through', 'June', '30', '2014']",Department of General Services (DGS),"['fy2015_mva_kwh', 'fy2013_msa_kwh', 'fy2014_msa_mmbtu', 'fy2014_mdta_mmbtu', 'fy2013_mva_kwh', 'fy2013_djs_kwh', 'fy2015_mta_kwh', 'fy2015_dpscs_mmbtu', 'fy2015_mdta_mmbtu', 'fy2015_dhmh_kwh', 'fy2015_dmil_kwh', 'fy2015_djs_kwh', 'fy2014_dhmh_mmbtu', 'fy2014_dmil_mmbtu', 'fy2015_djs_mmbtu', 'fy2014_dmsp_mmbtu', 'fy2015_dmsp_mmbtu', 'fy2013_dmsp_mmbtu', 'fy2015_dmsp_kwh', 'fy2014_dpscs_kwh', 'fy2014_dnr_kwh', 'fy2015_dnr_kwh', 'fy2014_maa_mmbtu', 'fy2015_dnr_mmbtu', 'fy2013_dpscs_mmbtu', 'fy2013_dnr_mmbtu', 'fy2014_dnr_mmbtu', 'fy2015_maa_kwh', 'fy2014_maa_kwh', 'fy2013_maa_mmbtu', 'fy2014_dpscs_mmbtu', 'fy2015_mde_mmbtu', 'fy2013_mpa_mmbtu', 'fy2014_sha_mmbtu', 'fy2014_mva_kwh', 'fy2015_mva_mmbtu', 'fy2013_dgs_kwh', 'fy2013_mdta_mmbtu', 'fy2014_mde_mmbtu', 'fy2013_mde_mmbtu', 'fy2013_mpa_kwh', 'fy2014_sha_kwh', 'fy2015_mta_mmbtu', 'fy2013_maa_kwh', 'fy2014_mva_mmbtu', 'fy2013_sha_kwh', 'fy2015_dhmh_mmbtu', 'fy2013_mdta_kwh', 'fy2015_mde_kwh', 'fy2013_dhmh_mmbtu', 'fy2014_mde_kwh', 'fy2013_mde_kwh', 'fy2013_msa_mmbtu', 'fy2014_msde_mmbtu', 'fy2014_dgs_kwh', 'fy2013_dgs_mmbtu', 'month_fiscal_year_begins_in_july', 'fy2015_dmil_mmbtu', 'fy2015_dpscs_kwh', 'fy2015_maa_mmbtu', 'fy2015_mpa_kwh', 'fy2015_mpa_mmbtu', 'fy2015_msde_mmbtu', 'fy2015_msde_kwh', 'fy2015_msa_mmbtu', 'fy2015_sha_mmbtu', 'fy2015_sha_kwh', 'fy2013_sha_mmbtu', 'fy2013_mva_mmbtu', 'fy2014_mta_mmbtu', 'fy2013_dhmh_kwh', 'fy2014_dgs_mmbtu', 'fy2015_dgs_kwh', 'fy2015_dgs_mmbtu', 'fy2013_msde_kwh', 'fy2013_dmsp_kwh', 'fy2013_dpscs_kwh', 'fy2014_dmsp_kwh', 'fy2013_dnr_kwh', 'fy2013_dmil_kwh', 'fy2013_dmil_mmbtu', 'fy2014_djs_mmbtu', 'fy2014_dmil_kwh', 'fy2014_dhmh_kwh', 'fy2013_mta_mmbtu', 'fy2014_mpa_kwh', 'fy2015_mdta_kwh', 'fy2014_mdta_kwh', 'fy2015_msa_kwh', 'fy2014_msa_kwh', 'fy2014_mpa_mmbtu', 'fy2013_djs_mmbtu', 'fy2014_djs_kwh', 'fy2014_mta_kwh', 'fy2013_mta_kwh', 'fy2014_msde_kwh', 'fy2013_msde_mmbtu']","['FY2015 MVA kWh', 'FY2013 MSA kWh', 'FY2014 MSA MMBTU', 'FY2014 MdTA MMBTU', 'FY2013 MVA kWh', 'FY2013 DJS kWh', 'FY2015 MTA kWh', 'FY2015 DPSCS MMBTU', 'FY2015 MdTA MMBTU', 'FY2015 DHMH kWh', 'FY2015 DMIL kWh', 'FY2015 DJS kWH', 'FY2014 DHMH MMBTU', 'FY2014 DMIL MMBTU', 'FY2015 DJS MMBTU', 'FY2014 DMSP MMBTU', 'FY2015 DMSP MMBTU', 'FY2013 DMSP MMBTU', 'FY2015 DMSP kWh', 'FY2014 DPSCS kWh', 'FY2014 DNR kWh', 'FY2015 DNR kWh', 'FY2014 MAA MMBTU', 'FY2015 DNR MMBTU', 'FY2013 DPSCS MMBTU', 'FY2013 DNR MMBTU', 'FY2014 DNR MMBTU', 'FY2015 MAA kWh', 'FY2014 MAA kWh', 'FY2013 MAA MMBTU', 'FY2014 DPSCS MMBTU', 'FY2015 MDE MMBTU', 'FY2013 MPA MMBTU', 'FY2014 SHA MMBTU', 'FY2014 MVA kWh', 'FY2015 MVA MMBTU', 'FY2013 DGS kWh', 'FY2013 MdTA MMBTU', 'FY2014 MDE MMBTU', 'FY2013 MDE MMBTU', 'FY2013 MPA kWh', 'FY2014 SHA kWh', 'FY2015 MTA MMBTU', 'FY2013 MAA kWh', 'FY2014 MVA MMBTU', 'FY2013 SHA kWh', 'FY2015 DHMH MMBTU', 'FY2013 MdTA kWh', 'FY2015 MDE kWh', 'FY2013 DHMH MMBTU', 'FY2014 MDE kWh', 'FY2013 MDE kWh', 'FY2013 MSA MMBTU', 'FY2014 MSDE MMBTU', 'FY2014 DGS kWh', 'FY2013 DGS MMBTU', 'Month (Fiscal Year Begins in July)', 'FY2015 DMIL MMBTU', 'FY2015 DPSCS kWh', 'FY2015 MAA MMBTU', 'FY2015 MPA kWh', 'FY2015 MPA MMBTU', 'FY2015 MSDE MMBTU', 'FY2015 MSDE kWh', 'FY2015 MSA MMBTU', 'FY2015 SHA MMBTU', 'FY2015 SHA kWh', 'FY2013 SHA MMBTU', 'FY2013 MVA MMBTU', 'FY2014 MTA MMBTU', 'FY2013 DHMH kWh', 'FY2014 DGS MMBTU', 'FY2015 DGS kWh', 'FY2015 DGS MMBTU', 'FY2013 MSDE kWh', 'FY2013 DMSP kWh', 'FY2013 DPSCS kWh', 'FY2014 DMSP kWh', 'FY2013 DNR kWh', 'FY2013 DMIL kWh', 'FY2013 DMIL MMBTU', 'FY2014 DJS MMBTU', 'FY2014 DMIL kWh', 'FY2014 DHMH kWh', 'FY2013 MTA MMBTU', 'FY2014 MPA kWh', 'FY2015 MdTA kWh', 'FY2014 MdTA kWh', 'FY2015 MSA kWh', 'FY2014 MSA kWh', 'FY2014 MPA MMBTU', 'FY2013 DJS MMBTU', 'FY2014 DJS kWh', 'FY2014 MTA kWh', 'FY2013 MTA kWh', 'FY2014 MSDE kWh', 'FY2013 MSDE MMBTU']",chart,"['environment', 'infrastructure']",Energy and Environment,"['conservation', 'electricity', 'energy', 'department of general services', 'dgs']",official,28.0,27.0,3.0,225.0,7.82017896242,data.maryland.gov,"['conservation', 'electricity', 'energy', 'department', 'of', 'general', 'services', 'dgs', 'environment', 'infrastructure', 'energy', 'and', 'environment']","['conservation', 'electricity', 'energy', 'department', 'of', 'general', 'services', 'dgs', 'environment', 'infrastructure', 'energy', 'and', 'environment', 'To', 'substantially', 'reduce', 'energy', 'costs', 'and', 'consumption', 'by', 'State', 'government', 'an', 'energy/electricity', 'competition', 'was', 'established', 'in', '2011', 'between', 'the', '16', 'largest', 'energy', 'using', 'agencies', 'Each', ""agency's"", 'consumption', 'of', 'electricity', '(kWh)', 'and', 'total', 'energy', '(MMBTU)', 'from', 'significant', 'facilities', 'is', 'monitored', 'in', 'relation', 'to', 'a', 'baseline', 'year', 'of', 'FY', '2008', 'Significant', 'facilities', 'are', 'those', 'that', 'have', 'been', 'occupied', 'by', 'the', 'State', 'since', '2008', 'and', 'are', 'air', 'conditioned', 'An', 'overall', 'goal', 'is', 'set', 'for', 'State', 'agencies', 'to', 'reduce', 'energy/electricity', 'consumption', 'by', '15%', 'by', '2015', 'to', 'Lead', 'By', 'Example', 'To', 'view', 'how', 'the', 'State', 'and', 'each', 'of', 'the', '16', 'agencies', 'are', 'performing', 'please', 'select', 'between', 'energy', 'and', 'electricity', 'and', 'select', 'an', 'agency', 'using', 'the', 'options', 'to', 'the', 'right', 'The', 'Fiscal', 'Year', '(FY)', '2013', 'runs', 'from', 'July', '1', '2012', 'through', 'June', '30', '2013', 'The', 'Fiscal', 'Year', '2014', 'runs', 'from', 'July', '1', '2013', 'through', 'June', '30', '2014']","[(0, 0.013708951222527596), (6, 0.080695618766107299), (8, 0.032512629437783006), (9, 0.014247366516746948), (10, 0.014981242349653194), (11, 0.25055013565076945), (13, 0.056264407029925856), (17, 0.014944625207316179), (22, 0.028530884784895749), (23, 0.027977101425852639), (25, 0.032761146388678705), (30, 0.013444026351987793), (35, 0.030418307828727773), (36, 0.012624843913830584), (40, 0.22010889669625963), (44, 0.025005122131805311), (45, 0.12301643913765771)]","[(11, 0.25055013565076945), (40, 0.22010889669625963), (45, 0.12301643913765771), (6, 0.0806956187661073), (13, 0.056264407029925856), (25, 0.032761146388678705), (8, 0.032512629437783006), (35, 0.030418307828727773), (22, 0.02853088478489575), (23, 0.02797710142585264), (44, 0.02500512213180531), (10, 0.014981242349653194), (17, 0.01494462520731618), (9, 0.014247366516746948), (0, 0.013708951222527596), (30, 0.013444026351987793), (36, 0.012624843913830584)]",11
12975,13144,13144,G3: 2.2.c - Fish Passage Barriers,"['Increase', 'number', 'of', 'fish', 'passage', 'barriers', 'corrected', 'per', 'year', 'from', '375', 'to', '500', 'by', '2016']",Washington Department of Fish and Wildlife,"['year', 'number', 'date']","['Year', 'Number', 'Date']",dataset,"['environment', 'demographics']",Goal 3: Sustainable Energy and a Clean Environment,"['healthy fish and wildlife', 'pacific salmon', 'fish passage correction']",official,29.0,3.0,0.0,225.0,7.82017896242,data.results.wa.gov,"['healthy', 'fish', 'and', 'wildlife', 'pacific', 'salmon', 'fish', 'passage', 'correction', 'environment', 'demographics', 'goal', '3:', 'sustainable', 'energy', 'and', 'a', 'clean', 'environment']","['healthy', 'fish', 'and', 'wildlife', 'pacific', 'salmon', 'fish', 'passage', 'correction', 'environment', 'demographics', 'goal', '3:', 'sustainable', 'energy', 'and', 'a', 'clean', 'environment', 'Increase', 'number', 'of', 'fish', 'passage', 'barriers', 'corrected', 'per', 'year', 'from', '375', 'to', '500', 'by', '2016']","[(0, 0.074786324786324715), (9, 0.040209167167208397), (11, 0.26345475692228437), (13, 0.13552973822047937), (16, 0.039195579318904723), (20, 0.039042606213282045), (24, 0.037749287749287715), (38, 0.087908231413989291), (45, 0.075537480213729788), (46, 0.056223478437829884), (48, 0.078077323976532956), (50, 0.043795997090117313)]","[(11, 0.26345475692228437), (13, 0.13552973822047937), (38, 0.08790823141398929), (48, 0.07807732397653296), (45, 0.07553748021372979), (0, 0.07478632478632471), (46, 0.056223478437829884), (50, 0.04379599709011731), (9, 0.0402091671672084), (16, 0.03919557931890472), (20, 0.039042606213282045), (24, 0.037749287749287715)]",11
12978,13147,13147,G3: 3.1.c Better Brakes Area Chart,"['Reduce', 'the', 'average', 'concentration', 'of', 'copper', 'in', 'brakes', 'sold', 'in', 'the', 'state', 'from', '7', '22%', 'to', 'less', 'than', '0', '5%', 'by', '2025', 'preventing', 'the', 'release', 'of', 'about', '250', '000', 'pounds', 'of', 'copper', 'per', 'year']",The Washington State Department of Ecology,"['reporting_date', 'comments', 'target', 'actual']","['Quarter', 'Comments', 'Target', 'Actual']",chart,['demographics'],Goal 3: Sustainable Energy and a Clean Environment,"['better brakes', 'healthy lands', 'clean and restored environment']",official,54.0,5.0,0.0,225.0,7.82017896242,data.results.wa.gov,"['better', 'brakes', 'healthy', 'lands', 'clean', 'and', 'restored', 'environment', 'demographics', 'goal', '3:', 'sustainable', 'energy', 'and', 'a', 'clean', 'environment']","['better', 'brakes', 'healthy', 'lands', 'clean', 'and', 'restored', 'environment', 'demographics', 'goal', '3:', 'sustainable', 'energy', 'and', 'a', 'clean', 'environment', 'Reduce', 'the', 'average', 'concentration', 'of', 'copper', 'in', 'brakes', 'sold', 'in', 'the', 'state', 'from', '7', '22%', 'to', 'less', 'than', '0', '5%', 'by', '2025', 'preventing', 'the', 'release', 'of', 'about', '250', '000', 'pounds', 'of', 'copper', 'per', 'year']","[(0, 0.13027036760367655), (3, 0.02997737556561084), (6, 0.034088589422626374), (7, 0.071005328433504322), (11, 0.26805630834737787), (18, 0.034859544206071486), (27, 0.073155965165192099), (33, 0.059389140271493175), (34, 0.082554037013010478), (45, 0.02997737556561084), (46, 0.030371575444019621), (47, 0.031367775405003677), (48, 0.044044264615625557), (49, 0.059389140271493189)]","[(11, 0.26805630834737787), (0, 0.13027036760367655), (34, 0.08255403701301048), (27, 0.0731559651651921), (7, 0.07100532843350432), (49, 0.05938914027149319), (33, 0.059389140271493175), (48, 0.04404426461562556), (18, 0.034859544206071486), (6, 0.034088589422626374), (47, 0.03136777540500368), (46, 0.03037157544401962), (3, 0.02997737556561084), (45, 0.02997737556561084)]",11
9062,9231,9231,Department of Natural Resources (DNR) Annual Electricity Usage (kWh): Line Chart,"['To', 'substantially', 'reduce', 'energy', 'costs', 'and', 'consumption', 'by', 'State', 'government', 'an', 'energy/electricity', 'competition', 'was', 'established', 'in', '2011', 'between', 'the', '16', 'largest', 'energy', 'using', 'agencies', 'Each', ""agency's"", 'consumption', 'of', 'electricity', '(kWh)', 'and', 'total', 'energy', '(MMBTU)', 'from', 'significant', 'facilities', 'is', 'monitored', 'in', 'relation', 'to', 'a', 'baseline', 'year', 'of', 'FY', '2008', 'Significant', 'facilities', 'are', 'those', 'that', 'have', 'been', 'occupied', 'by', 'the', 'State', 'since', '2008', 'and', 'are', 'air', 'conditioned', 'An', 'overall', 'goal', 'is', 'set', 'for', 'State', 'agencies', 'to', 'reduce', 'energy/electricity', 'consumption', 'by', '15%', 'by', '2015', 'to', 'Lead', 'By', 'Example', 'The', 'Fiscal', 'Year', '(FY)', '2013', 'runs', 'from', 'July', '1', '2012', 'through', 'June', '30', '2013', 'The', 'Fiscal', 'Year', '2014', 'runs', 'from', 'July', '1', '2013', 'through', 'June', '30', '2014']",Department of General Services (DGS),"['dnr', 'dmil', 'msa', 'msde', 'dgs', 'energy_metric', 'mde', 'djs', 'maa', 'dhmh', 'mdta', 'mpa', 'dpscs', 'total', 'mta', 'dmsp', 'sha', 'mva']","['DNR', 'DMIL', 'MSA', 'MSDE', 'DGS', 'Energy Metric', 'MDE', 'DJS', 'MAA', 'DHMH', 'MdTA', 'MPA', 'DPSCS', 'Total ', 'MTA', 'DMSP', 'SHA', 'MVA']",chart,"['environment', 'infrastructure']",Energy and Environment,"['conservation', 'electricity', 'energy', 'department of general services', 'dgs']",official,28.0,47.0,6.0,224.0,7.81378119122,data.maryland.gov,"['conservation', 'electricity', 'energy', 'department', 'of', 'general', 'services', 'dgs', 'environment', 'infrastructure', 'energy', 'and', 'environment']","['conservation', 'electricity', 'energy', 'department', 'of', 'general', 'services', 'dgs', 'environment', 'infrastructure', 'energy', 'and', 'environment', 'To', 'substantially', 'reduce', 'energy', 'costs', 'and', 'consumption', 'by', 'State', 'government', 'an', 'energy/electricity', 'competition', 'was', 'established', 'in', '2011', 'between', 'the', '16', 'largest', 'energy', 'using', 'agencies', 'Each', ""agency's"", 'consumption', 'of', 'electricity', '(kWh)', 'and', 'total', 'energy', '(MMBTU)', 'from', 'significant', 'facilities', 'is', 'monitored', 'in', 'relation', 'to', 'a', 'baseline', 'year', 'of', 'FY', '2008', 'Significant', 'facilities', 'are', 'those', 'that', 'have', 'been', 'occupied', 'by', 'the', 'State', 'since', '2008', 'and', 'are', 'air', 'conditioned', 'An', 'overall', 'goal', 'is', 'set', 'for', 'State', 'agencies', 'to', 'reduce', 'energy/electricity', 'consumption', 'by', '15%', 'by', '2015', 'to', 'Lead', 'By', 'Example', 'The', 'Fiscal', 'Year', '(FY)', '2013', 'runs', 'from', 'July', '1', '2012', 'through', 'June', '30', '2013', 'The', 'Fiscal', 'Year', '2014', 'runs', 'from', 'July', '1', '2013', 'through', 'June', '30', '2014']","[(0, 0.016117910697610587), (6, 0.096286660543327823), (8, 0.029264214046822754), (9, 0.017716457277539809), (10, 0.017047025710160927), (11, 0.26341002219452331), (13, 0.050459090174477125), (17, 0.015940719197301535), (22, 0.03004745008000859), (23, 0.016452812478828988), (25, 0.040267709128080115), (30, 0.015954316296179296), (36, 0.01502021027171202), (40, 0.24660987789623207), (44, 0.01500208700200851), (45, 0.10436999218913334)]","[(11, 0.2634100221945233), (40, 0.24660987789623207), (45, 0.10436999218913334), (6, 0.09628666054332782), (13, 0.050459090174477125), (25, 0.040267709128080115), (22, 0.03004745008000859), (8, 0.029264214046822754), (9, 0.01771645727753981), (10, 0.017047025710160927), (23, 0.016452812478828988), (0, 0.016117910697610587), (30, 0.015954316296179296), (17, 0.015940719197301535), (36, 0.01502021027171202), (44, 0.01500208700200851)]",11
